,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment
77,BIG CREEK ELEMENTARY,0.0,0.0,15.0,39.0,0.0,1.0,0.0,55.0
78,BIG LAGOON UNION ELEMENTARY,4.0,0.0,4.0,8.0,0.0,2.0,0.0,18.0
79,BIG OAK FLAT-GROVELAND UNIFIED,4.0,5.0,48.0,236.0,0.0,6.0,3.0,302.0
80,BIG PINE UNIFIED,76.0,0.0,36.0,40.0,1.0,17.0,1.0,171.0
81,BIG SPRINGS UNION ELEMENTARY,3.0,1.0,34.0,121.0,0.0,15.0,5.0,179.0
82,BIG SUR UNIFIED,0.0,0.0,26.0,67.0,1.0,13.0,2.0,109.0
83,BIG VALLEY JOINT UNIFIED,8.0,0.0,21.0,118.0,0.0,0.0,0.0,147.0
84,BIGGS UNIFIED,5.0,13.0,231.0,348.0,2.0,5.0,13.0,617.0
85,BISHOP UNIFIED,279.0,9.0,714.0,734.0,0.0,131.0,23.0,1890.0
86,BITTERWATER-TULLY ELEMENTARY,0.0,0.0,11.0,21.0,0.0,0.0,0.0,32.0
87,BLACK BUTTE UNION ELEMENTARY,12.0,2.0,22.0,162.0,2.0,11.0,2.0,213.0
88,BLACK OAK MINE UNIFIED,29.0,6.0,118.0,1067.0,0.0,22.0,11.0,1253.0
89,BLAKE ELEMENTARY,0.0,0.0,4.0,7.0,0.0,0.0,0.0,11.0
90,BLOCHMAN UNION ELEMENTARY,8.0,15.0,326.0,814.0,5.0,91.0,18.0,1277.0
91,BLP SCHS SELF-INC. WORKERS COMPENSATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,BLUE LAKE UNION ELEMENTARY,13.0,1.0,20.0,95.0,0.0,40.0,0.0,169.0
93,BOGUS ELEMENTARY,0.0,0.0,0.0,14.0,0.0,6.0,0.0,20.0
94,BOLINAS-STINSON UNION,0.0,1.0,20.0,52.0,0.0,10.0,2.0,85.0
95,BONITA UNIFIED,23.0,313.0,5202.0,2976.0,17.0,866.0,830.0,10227.0
96,BONNY DOON UNION ELEMENTARY,2.0,0.0,5.0,152.0,0.0,1.0,3.0,163.0
97,BONSALL UNIFIED,153.0,56.0,932.0,1360.0,11.0,212.0,135.0,2859.0
98,BORREGO SPRINGS UNIFIED,4.0,34.0,704.0,113.0,5.0,20.0,6.0,886.0
99,BRADLEY UNION ELEMENTARY,5.0,3.0,53.0,131.0,0.0,16.0,6.0,214.0
100,BRAWLEY ELEMENTARY,1.0,34.0,3794.0,143.0,1.0,3.0,16.0,3992.0
101,BRAWLEY UNION HIGH,1.0,21.0,1650.0,152.0,2.0,5.0,15.0,1846.0
102,BREA-OLINDA UNIFIED,10.0,96.0,2150.0,1972.0,26.0,178.0,1477.0,5909.0
103,BRENTWOOD UNION ELEMENTARY,29.0,639.0,2719.0,3812.0,59.0,676.0,983.0,8917.0
104,BRET HARTE UNION HIGH,10.0,0.0,138.0,497.0,0.0,38.0,13.0,696.0
105,BRIDGEVILLE ELEMENTARY,0.0,0.0,2.0,20.0,0.0,3.0,0.0,25.0
106,BRIGGS ELEMENTARY,0.0,0.0,513.0,26.0,0.0,3.0,0.0,542.0
107,BRISBANE ELEMENTARY,0.0,8.0,148.0,134.0,4.0,37.0,133.0,464.0
108,BRITTAN ELEMENTARY,5.0,0.0,102.0,309.0,0.0,50.0,0.0,466.0
109,BROWNS ELEMENTARY,0.0,1.0,63.0,73.0,1.0,9.0,5.0,152.0
110,BUCKEYE UNION ELEMENTARY,14.0,47.0,742.0,3599.0,16.0,345.0,453.0,5216.0
111,BUELLTON UNION ELEMENTARY,4.0,4.0,268.0,294.0,0.0,36.0,8.0,614.0
112,BUENA PARK ELEMENTARY,17.0,218.0,3197.0,341.0,25.0,111.0,928.0,4837.0
113,BUENA VISTA ELEMENTARY,0.0,4.0,139.0,63.0,0.0,3.0,0.0,209.0
114,BURBANK UNIFIED,57.0,418.0,5891.0,7373.0,16.0,886.0,1458.0,16099.0
115,BURLINGAME ELEMENTARY,6.0,22.0,506.0,1775.0,14.0,296.0,791.0,3410.0
116,BURNT RANCH ELEMENTARY,32.0,4.0,20.0,33.0,0.0,5.0,2.0,96.0
117,BURREL UNION ELEMENTARY,0.0,0.0,100.0,9.0,0.0,0.0,3.0,112.0
118,BURTON ELEMENTARY,61.0,33.0,3305.0,1007.0,8.0,26.0,241.0,4681.0
119,BUTTE COUNTY OFFICE OF EDUCATION,31.0,19.0,216.0,828.0,3.0,97.0,18.0,1212.0
120,BUTTE COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,BUTTE VALLEY UNIFIED,13.0,0.0,146.0,139.0,0.0,6.0,4.0,308.0
122,BUTTEVILLE UNION ELEMENTARY,0.0,0.0,30.0,1.0,0.0,180.0,0.0,211.0
123,BUTTONWILLOW UNION ELEMENTARY,1.0,3.0,339.0,27.0,0.0,1.0,3.0,374.0
124,BYRON UNION ELEMENTARY,50.0,92.0,527.0,1336.0,29.0,89.0,111.0,2234.0
125,CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),0.0,21.0,220.0,88.0,2.0,11.0,10.0,352.0
128,CABRILLO UNIFIED,4.0,13.0,1685.0,1358.0,5.0,123.0,91.0,3279.0
129,CAJON VALLEY UNION,34.0,1025.0,6065.0,8086.0,90.0,1127.0,497.0,16924.0
130,CALAVERAS COUNTY OFFICE OF EDUCATION,6.0,10.0,102.0,354.0,3.0,48.0,2.0,525.0
131,CALAVERAS UNIFIED,49.0,20.0,554.0,2123.0,6.0,143.0,37.0,2932.0
132,CALEXICO UNIFIED,1.0,4.0,9185.0,30.0,0.0,5.0,27.0,9252.0
133,CALIENTE UNION ELEMENTARY,0.0,0.0,5.0,43.0,0.0,3.0,0.0,51.0
134,CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,1.0,125.0,218.0,31.0,3.0,0.0,10.0,388.0
135,CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),0.0,1.0,21.0,10.0,2.0,2.0,3.0,39.0
136,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),1.0,33.0,190.0,85.0,2.0,21.0,48.0,380.0
137,CALIPATRIA UNIFIED,0.0,28.0,1014.0,95.0,0.0,9.0,4.0,1150.0
138,CALISTOGA JOINT UNIFIED,1.0,0.0,712.0,115.0,0.0,17.0,14.0,859.0
139,CAMBRIAN,23.0,91.0,812.0,1549.0,14.0,352.0,673.0,3514.0
140,CAMINO UNION ELEMENTARY,12.0,0.0,154.0,292.0,1.0,44.0,0.0,503.0
141,CAMPBELL UNION,15.0,262.0,3515.0,1809.0,46.0,648.0,1170.0,7465.0
142,CAMPBELL UNION HIGH,31.0,202.0,2684.0,3148.0,52.0,377.0,1316.0,7810.0
143,CAMPTONVILLE ELEMENTARY,10.0,4.0,91.0,335.0,3.0,72.0,4.0,519.0
144,CANYON ELEMENTARY,0.0,2.0,7.0,47.0,0.0,12.0,4.0,72.0
145,CAPAY JOINT UNION ELEMENTARY,0.0,0.0,82.0,104.0,0.0,5.0,1.0,192.0
146,CAPISTRANO UNIFIED,112.0,736.0,14113.0,30333.0,73.0,4227.0,4019.0,53613.0
147,CARDIFF ELEMENTARY,0.0,1.0,132.0,513.0,0.0,49.0,9.0,704.0
148,CARLSBAD UNIFIED,38.0,139.0,3079.0,6269.0,25.0,834.0,783.0,11167.0
149,CARMEL UNIFIED,6.0,9.0,463.0,1553.0,4.0,365.0,109.0,2509.0
150,CARPINTERIA UNIFIED,10.0,9.0,1659.0,516.0,1.0,31.0,43.0,2269.0
151,CARUTHERS UNIFIED,6.0,4.0,1202.0,138.0,2.0,14.0,76.0,1442.0
152,CASCADE UNION ELEMENTARY,70.0,20.0,244.0,635.0,6.0,33.0,72.0,1080.0
153,CASTAIC UNION,2.0,52.0,942.0,988.0,4.0,79.0,167.0,2234.0
154,CASTLE ROCK UNION ELEMENTARY,3.0,2.0,9.0,30.0,0.0,6.0,0.0,50.0
155,CASTRO VALLEY UNIFIED,23.0,532.0,2239.0,2689.0,39.0,1027.0,2783.0,9332.0
156,CAYUCOS ELEMENTARY,0.0,0.0,47.0,138.0,0.0,21.0,5.0,211.0
157,CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,CENTER JOINT UNIFIED,39.0,489.0,1144.0,2063.0,42.0,278.0,421.0,4476.0
159,CENTINELA VALLEY UNION HIGH,14.0,1236.0,5495.0,230.0,67.0,233.0,248.0,7523.0
160,CENTRAL CALIF MIGRANT HEAD START JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,CENTRAL ELEMENTARY,4.0,467.0,2348.0,1260.0,26.0,110.0,324.0,4539.0
163,CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,CENTRAL SIERRA ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,CENTRAL SIERRA ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,CENTRAL UNIFIED,96.0,1439.0,9166.0,2527.0,44.0,245.0,2255.0,15772.0
167,CENTRAL UNION ELEMENTARY,131.0,128.0,663.0,598.0,14.0,162.0,81.0,1777.0
168,CENTRAL UNION HIGH,5.0,37.0,3871.0,159.0,1.0,5.0,41.0,4119.0
169,CENTRAL VALLEY PRE-SCHOOL JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,CENTRAL VALLEY SUPPORT SERVICES JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,CENTRALIA ELEMENTARY,15.0,123.0,2361.0,662.0,25.0,149.0,1082.0,4417.0
172,CERES UNIFIED,74.0,243.0,10968.0,2147.0,114.0,140.0,796.0,14482.0
173,CHAFFEY JOINT UNION HIGH,93.0,1919.0,15213.0,4043.0,108.0,578.0,1940.0,23894.0
174,CHARTER OAK UNIFIED,24.0,147.0,3249.0,957.0,16.0,146.0,357.0,4896.0
175,CHATOM UNION,0.0,0.0,403.0,184.0,0.0,14.0,0.0,601.0
176,CHAWANAKEE UNIFIED,109.0,18.0,207.0,668.0,1.0,38.0,13.0,1054.0
177,CHICAGO PARK ELEMENTARY,3.0,0.0,23.0,140.0,0.0,12.0,4.0,182.0
178,CHICO UNIFIED,221.0,359.0,3274.0,8429.0,71.0,766.0,831.0,13951.0
179,CHINO VALLEY UNIFIED,24.0,952.0,16518.0,5197.0,63.0,654.0,5478.0,28886.0
180,CHOWCHILLA ELEMENTARY,8.0,41.0,1428.0,644.0,4.0,33.0,45.0,2203.0
181,CHOWCHILLA UNION HIGH,9.0,21.0,642.0,370.0,1.0,8.0,22.0,1073.0
182,CHUALAR UNION,0.0,0.0,336.0,2.0,0.0,0.0,0.0,338.0
183,CHULA VISTA ELEMENTARY,47.0,1073.0,21148.0,3268.0,120.0,1013.0,3384.0,30053.0
184,CIENEGA UNION ELEMENTARY,0.0,0.0,11.0,12.0,0.0,0.0,0.0,23.0
185,CINNABAR ELEMENTARY,0.0,2.0,175.0,85.0,2.0,4.0,2.0,270.0
186,CLAREMONT UNIFIED,14.0,342.0,2931.0,2418.0,20.0,563.0,778.0,7066.0
187,CLAY JOINT ELEMENTARY,0.0,0.0,67.0,154.0,0.0,14.0,9.0,244.0
188,CLEAR CREEK ELEMENTARY,1.0,0.0,14.0,124.0,0.0,6.0,0.0,145.0
189,CLOVERDALE UNIFIED,41.0,7.0,772.0,542.0,4.0,38.0,14.0,1418.0
190,CLOVIS UNIFIED,284.0,1338.0,15681.0,17321.0,103.0,1322.0,6697.0,42746.0
191,COACHELLA VALLEY UNIFIED,92.0,35.0,18290.0,156.0,0.0,125.0,21.0,18719.0
192,COALINGA-HURON UNIFIED,14.0,46.0,3746.0,455.0,1.0,96.0,92.0,4450.0
193,COAST UNIFIED,3.0,6.0,405.0,207.0,3.0,18.0,7.0,649.0
194,COASTLINE ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,COASTLINE ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,COFFEE CREEK ELEMENTARY,0.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0
197,COLD SPRING ELEMENTARY,0.0,2.0,14.0,140.0,0.0,5.0,8.0,169.0
198,COLFAX ELEMENTARY,1.0,1.0,29.0,251.0,0.0,29.0,1.0,312.0
199,COLLEGE AND CAREER ADVANTAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,COLLEGE ELEMENTARY,15.0,0.0,163.0,190.0,1.0,22.0,2.0,393.0
201,COLTON JOINT UNIFIED,53.0,1261.0,19172.0,1485.0,54.0,183.0,566.0,22774.0
202,COLTON-REDLANDS-YUCAIPA ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,COLTON-REDLANDS-YUCAIPA ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,COLUMBIA ELEMENTARY,31.0,7.0,153.0,989.0,0.0,143.0,40.0,1363.0
205,COLUMBIA UNION,9.0,10.0,51.0,404.0,3.0,44.0,10.0,531.0
206,COLUMBINE ELEMENTARY,0.0,2.0,175.0,12.0,0.0,6.0,12.0,207.0
207,COLUSA COUNTY OFFICE OF EDUCATION,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0
208,COLUSA UNIFIED,57.0,1.0,1014.0,373.0,2.0,14.0,18.0,1479.0
209,COMMUNITY DAY SCHOOL JOINT POWERS AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,COMPTON UNIFIED,39.0,4357.0,18531.0,113.0,126.0,259.0,27.0,23452.0
211,COMPTON UNIFIED ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,CONEJO VALLEY UNIFIED,74.0,273.0,4999.0,10591.0,45.0,860.0,2076.0,18918.0
213,CONTRA COSTA COUNTY OFFICE OF EDUCATION,21.0,459.0,1987.0,1546.0,30.0,349.0,400.0,4792.0
214,CONTRA COSTA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,CONTRA COSTA SELPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,CORCORAN JOINT UNIFIED,4.0,113.0,2991.0,205.0,0.0,4.0,17.0,3334.0
217,CORNING UNION ELEMENTARY,37.0,23.0,1384.0,625.0,4.0,7.0,33.0,2113.0
218,CORNING UNION HIGH,11.0,6.0,516.0,348.0,0.0,53.0,8.0,942.0
219,CORONA-NORCO UNIFIED,187.0,3173.0,28004.0,13794.0,208.0,1059.0,6580.0,53005.0
220,CORONADO UNIFIED,13.0,51.0,631.0,2047.0,15.0,168.0,139.0,3064.0
221,COTATI-ROHNERT PARK UNIFIED,40.0,134.0,2550.0,2813.0,20.0,452.0,263.0,6272.0
222,COTTONWOOD UNION ELEMENTARY,41.0,8.0,155.0,805.0,4.0,56.0,22.0,1091.0
223,COVINA-VALLEY UNIFIED,36.0,324.0,8961.0,1141.0,22.0,412.0,1014.0,11910.0
224,CUCAMONGA ELEMENTARY,11.0,352.0,1750.0,210.0,11.0,22.0,160.0,2516.0
225,CUDDEBACK UNION ELEMENTARY,8.0,0.0,13.0,103.0,0.0,9.0,0.0,133.0
226,CULVER CITY UNIFIED,19.0,976.0,2643.0,1831.0,20.0,544.0,823.0,6856.0
227,CUPERTINO UNION,22.0,115.0,932.0,2852.0,29.0,750.0,13898.0,18598.0
228,CURTIS CREEK ELEMENTARY,6.0,3.0,73.0,349.0,0.0,25.0,2.0,458.0
229,CUTLER-OROSI JOINT UNIFIED,3.0,3.0,3910.0,73.0,2.0,4.0,131.0,4126.0
230,CUTTEN ELEMENTARY,47.0,6.0,105.0,369.0,2.0,59.0,34.0,622.0
231,CUYAMA JOINT UNIFIED,1.0,2.0,182.0,56.0,0.0,2.0,2.0,245.0
232,CYPRESS ELEMENTARY,3.0,116.0,1123.0,940.0,25.0,242.0,1520.0,3969.0
233,DAVIS JOINT UNIFIED,35.0,238.0,1732.0,4551.0,23.0,501.0,1502.0,8582.0
234,DEATH VALLEY UNIFIED,0.0,1.0,4.0,14.0,0.0,3.0,0.0,22.0
235,DEHESA ELEMENTARY,50.0,304.0,2046.0,2971.0,16.0,594.0,333.0,6314.0
236,DEL MAR UNION ELEMENTARY,6.0,33.0,467.0,2230.0,7.0,293.0,1377.0,4413.0
237,DEL NORTE COUNTY OFFICE OF EDUCATION,72.0,5.0,96.0,348.0,2.0,44.0,12.0,579.0
238,DEL NORTE COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,DEL NORTE COUNTY UNIFIED,527.0,39.0,829.0,1893.0,6.0,173.0,212.0,3679.0
240,DELANO JOINT UNION HIGH,3.0,22.0,3601.0,56.0,3.0,18.0,491.0,4194.0
241,DELANO UNION ELEMENTARY,12.0,25.0,6488.0,100.0,3.0,46.0,713.0,7387.0
242,DELHI UNIFIED,1.0,8.0,2355.0,185.0,3.0,10.0,82.0,2644.0
243,DELPHIC ELEMENTARY,3.0,0.0,10.0,32.0,0.0,12.0,0.0,57.0
244,DENAIR UNIFIED,4.0,7.0,602.0,619.0,1.0,70.0,6.0,1309.0
245,DESERT CENTER UNIFIED,0.0,0.0,10.0,9.0,0.0,0.0,0.0,19.0
246,DESERT SANDS UNIFIED,88.0,502.0,21139.0,5645.0,32.0,716.0,836.0,28958.0
247,DI GIORGIO ELEMENTARY,0.0,0.0,219.0,10.0,0.0,0.0,0.0,229.0
248,DINUBA UNIFIED,37.0,28.0,6066.0,317.0,3.0,1.0,134.0,6586.0
249,DIXIE ELEMENTARY,3.0,36.0,290.0,1307.0,5.0,134.0,207.0,1982.0
250,DIXON UNIFIED,16.0,58.0,2105.0,1225.0,10.0,176.0,73.0,3663.0
251,DOS PALOS ORO LOMA JOINT UNIFIED,51.0,61.0,1833.0,351.0,5.0,12.0,12.0,2325.0
252,DOUGLAS CITY ELEMENTARY,2.0,0.0,20.0,140.0,0.0,22.0,4.0,188.0
253,DOWNEY UNIFIED,39.0,609.0,19801.0,1066.0,47.0,120.0,602.0,22284.0
254,DRY CREEK JOINT ELEMENTARY,48.0,291.0,1303.0,3758.0,35.0,612.0,681.0,6728.0
255,DUARTE UNIFIED,23.0,148.0,2622.0,372.0,8.0,249.0,300.0,3722.0
256,DUBLIN UNIFIED,26.0,364.0,1272.0,2552.0,30.0,898.0,5517.0,10659.0
257,DUCOR UNION ELEMENTARY,1.0,0.0,162.0,5.0,0.0,0.0,0.0,168.0
258,DUNHAM ELEMENTARY,0.0,0.0,36.0,136.0,0.0,14.0,0.0,186.0
259,DUNSMUIR ELEMENTARY,3.0,0.0,20.0,54.0,0.0,13.0,0.0,90.0
260,DUNSMUIR JOINT UNION HIGH,3.0,2.0,15.0,39.0,0.0,6.0,0.0,65.0
261,DURHAM UNIFIED,11.0,5.0,199.0,725.0,0.0,42.0,3.0,985.0
